ID;scene;EN;RUS;TH
4794;MainMenu_New;CONTINUE;เล่นต่อ
4795;MainMenu_New;NEW GAME;เริ่มใหม่
4796;MainMenu_New;OPTIONS;ตั้งค่า
4797;MainMenu_New;LOAD;โหลด
4798;MainMenu_New;EXTRAS;พิเศษ
4799;MainMenu_New;EXIT;ออก
4800;MainMenu_New;DIALOGUE VOLUME;เสียงบทสนทนา
4801;MainMenu_New;MUSIC VOLUME;เสียงดนตรี
4802;MainMenu_New;SFX VOLUME;เสียงเอฟเฟกต์
4803;MainMenu_New;LANGUAGE;ภาษา
4804;MainMenu_New;FULLSCREEN;เต็มหน้าจอ
4805;MainMenu_New;CONTROLS;การควบคุม
4806;MainMenu_New;SCREEN RESOLUTION;ความละเอียดหน้าจอ
4807;MainMenu_New;V-SYNC;V-SYNC
4808;MainMenu_New;BACK;ย้อนกลับ
4809;MainMenu_New;LOAD AUTOSAVE;โหลดเซฟอัตโนมัติ
4810;MainMenu_New;CINEMATICS;ภาพยนตร์
4811;MainMenu_New;DOLLS;ตุ๊กตา
4812;MainMenu_New;ART GALLERY;งานศิลป์
4813;MainMenu_New;CREDITS;เครดิต
4814;MainMenu_New;LOAD;โหลด
4815;MainMenu_New;SAVE;เซฟ
4816;MainMenu_New;MAIN MENU;เมนูหลัก
4817;MainMenu_New;SUBTITLES;คำบรรยาย
4821;MainMenu_New;Press ENTER to continue;กด ENTER เพื่อดำเนินการต่อ
4823;MainMenu_New;ENGLISH;ไทย
4825;MainMenu_New;PostFX;Post FX
4842;MainMenu_New;MAIN MENU;เมนูหลัก
4843;MainMenu_New;INPUT TYPE;ประเภทอินพุต
4844;MainMenu_New;GAMEPAD;จอยสติ๊ก
4845;MainMenu_New;KEYBOARD;คีย์บอร์ด
4846;MainMenu_New;MOUSE & KEYBOARD;เม้าส์และคีย์บอร์ด
4847;MainMenu_New;Hold to skip;กดค้างเพื่อข้าม
4848;MainMenu_New;Are you sure you want to overwrite save?;แน่ใจหรือไม่ว่าต้องการ เขียนทับเซฟเดิม?
4849;MainMenu_New;The Fox of Openfields;จิ้งจอกแห่งโอเพ่นฟิลด์
4850;MainMenu_New;Misfortune;ยัยตัวซวย
4851;MainMenu_New;Rainbow Party;ปาร์ตี้สายรุ้ง
4852;MainMenu_New;Daddy;พ่อ
4853;MainMenu_New;The House Of Horror;บ้านสยองขวัญ
4854;MainMenu_New;Unicorn Ride;ขี่ยูนิคอร์น
4855;MainMenu_New;Picnic With Benjamin;ปิกนิกกับเบนจามิน
4856;MainMenu_New;Morgo Is Coming;มอร์โกมาแล้ว
4862;MainMenu_New;Close;ปิด
3252;Introduction;Welcome to my game.;ยินดีต้อนรับสู่เกมของฉัน
3253;Introduction;I'll be your host and humble narrator.;ฉันจะเป็นเจ้าภาพ และผู้บรรยายแสนสุภาพของคุณ
3254;Introduction;The rules of this game are simple.;กฎของเกมนี้ง่ายมาก
3255;Introduction;Play it until the end and you'll be rewarded.;เล่นจนกว่าจะจบ แล้วคุณจะได้รับรางวัล
4826;Introduction;This is a public Killmonday Games message. Stay calm and play the game.;นี่เป็นข้อความประกาศสาธารณะจาก Killmonday Games
2897;Introduction;MORGO;มอร์โก
1217;Bedroom;SHA-DAAN! HAPPINESS TO EVERYTHING!;แทน-แท้นน! ให้ทุกอย่างมีความสุข!
113;Bedroom;Before you leave, which toy do you choose to bring with you?;ก่อนจะออกไป เธอเอาของเล่นชิ้นไหนติดตัวไปด้วยดีล่ะ?
114;Bedroom;I choose my soft and beautiful unicorn!;หนูเลือกยูนิคอร์นตัวนิ่มแสนสวยดีกว่า!
115;Bedroom;I choose the stone Daddy threw at me once!;หนูเลือกหินก้อนที่พ่อเคยใช้ขว้างใส่หนูนี่แหละ!
116;Bedroom;Interesting choice...;น่าสนใจดีนี่...
117;Bedroom;Perfect! You can never go wrong with a magical unicorn.;เยี่ยม! เลือกยูนิคอร์นวิเศษไม่มีทางผิดหวังหรอก
119;Bedroom;Hey you, on the other side of the screen...;เฮ้ คุณน่ะ ที่อยู่อีกฝั่งของหน้าจอ...
120;Bedroom;Remember I told you she was going to die today?;จำที่บอกได้มั้ยว่าเธอจะตายวันนี้?
1218;Bedroom;Oh, and so you know, I like to sprinkle sparkle on things, so they become fabulous!;รู้อะไรมั้ย หนูชอบโปรยกากเพชรใส่สิ่งต่างๆ มันทำให้ดูวิบวับขึ้น!
4509;Bedroom;[localvar:1];[localvar:1]
2631;Bedroom;Can’t I take them both?;หนูเอาไปทั้งคู่ไม่ได้หรอ?
2632;Bedroom;No! You can only choose one.;ไม่! หนูเลือกได้แค่ชิ้นเดียว
2633;Bedroom;Ok... I choose...;ก็ได้... งั้นหนูเลือก...
2634;Bedroom;I know, right?!;แน่นอนอยู่แล้ว ใช่มั้ยล่ะ?
2635;Bedroom;Yeah, I call him Stony...;ช่าย หนูตั้งชื่อให้ว่าเจ้าหินก้อน...
